國民中學校別資料																							
103 學年度 SY2014-2015																							
縣市代碼	縣市名稱	學校代碼	學校名稱	班級數	7年級	8年級	9年級	學生數	男學生	女學生	7年級男	7年級女	8年級男	8年級女	9年級男	9年級女	上學年畢業生	上學年男畢業生	上學年女畢業生	男專任教師	女專任教師	男職員	女職員
01	新北市	011503	私立裕德國中(小)	8	3	4	1	162	94	68	36	28	39	25	19	15	-	-	-	12	12	2	3
01	新北市	014501	市立板橋國中	48	15	16	17	"1,329"	715	614	216	197	249	207	250	210	419	228	191	29	78	1	8
01	新北市	014503	市立重慶國中	77	23	27	27	"2,236"	"1,102"	"1,134"	311	328	413	380	378	426	735	364	371	42	132	1	13
01	新北市	014504	市立江翠國中	76	22	27	27	"2,081"	"1,067"	"1,014"	304	287	356	363	407	364	700	363	337	41	140	3	11
01	新北市	014505	市立中山國中	89	29	30	30	"2,967"	"1,537"	"1,430"	452	432	508	505	577	493	"1,041"	538	503	48	139	1	13
01	新北市	014506	市立新埔國中	52	15	18	19	"1,470"	720	750	222	201	230	266	268	283	490	242	248	26	94	3	9
01	新北市	014507	市立新莊國中	96	30	34	32	"2,748"	"1,406"	"1,342"	394	406	496	455	516	481	930	446	484	55	152	-	13
01	新北市	014508	市立新泰國中	73	21	26	26	"2,125"	"1,162"	963	340	277	394	327	428	359	670	383	287	49	113	2	10
01	新北市	014509	市立福營國中	77	24	27	26	"2,243"	"1,215"	"1,028"	331	285	446	386	438	357	647	314	333	61	117	4	10
01	新北市	014510	市立頭前國中	56	18	18	20	"1,575"	837	738	250	225	279	247	308	266	478	233	245	34	90	2	8
01	新北市	014512	市立光榮國中	42	13	14	15	"1,152"	597	555	185	178	195	192	217	185	360	194	166	23	71	-	10
01	新北市	014513	市立明志國中	79	24	27	28	"2,369"	"1,235"	"1,134"	359	310	417	379	459	445	846	435	411	53	128	2	11
01	新北市	014514	市立碧華國中	54	16	19	19	"1,594"	849	745	234	212	299	264	316	269	564	281	283	41	84	1	11
